Date,Year,Month,Day,Day_of_Week,Season,AQI,AQI_Category,PM2_5,PM10,NO2,SO2,CO,O3,Data_Source
2023-01-01,2023,1,1,Sunday,Winter,165,Moderate,82.4,125.3,31.5,11.8,1.81,20.1,Interpolated_from_baseline
2023-01-02,2023,1,2,Monday,Winter,166,Moderate,83.6,129.8,32.0,14.2,1.78,24.1,Interpolated_from_baseline
2023-01-03,2023,1,3,Tuesday,Winter,164,Moderate,80.3,111.8,27.7,12.1,1.94,21.7,Interpolated_from_baseline
2023-01-04,2023,1,4,Wednesday,Winter,169,Moderate,90.6,128.4,34.7,12.9,2.07,21.4,Interpolated_from_baseline
2023-01-05,2023,1,5,Thursday,Winter,174,Moderate,100.0,139.6,37.5,16.4,2.14,22.5,Interpolated_from_baseline
2023-01-06,2023,1,6,Friday,Winter,165,Moderate,82.7,114.9,27.7,15.0,2.21,23.4,Interpolated_from_baseline
2023-01-07,2023,1,7,Saturday,Winter,160,Moderate,72.2,109.0,26.6,10.2,1.73,20.0,Interpolated_from_baseline
2023-01-08,2023,1,8,Sunday,Winter,161,Moderate,75.0,117.2,26.4,12.6,1.72,22.1,Interpolated_from_baseline
2023-01-09,2023,1,9,Monday,Winter,159,Moderate,71.5,112.7,28.5,12.9,1.88,22.4,Interpolated_from_baseline
2023-01-10,2023,1,10,Tuesday,Winter,167,Moderate,87.1,136.4,29.3,12.7,1.86,21.2,Interpolated_from_baseline
2023-01-11,2023,1,11,Wednesday,Winter,158,Moderate,70.0,108.1,25.2,10.5,1.7,20.4,Interpolated_from_baseline
2023-01-12,2023,1,12,Thursday,Winter,162,Moderate,77.7,119.5,26.0,14.2,1.99,20.7,Interpolated_from_baseline
2023-01-13,2023,1,13,Friday,Winter,172,Moderate,95.6,146.3,32.0,14.6,2.08,23.6,Interpolated_from_baseline
2023-01-14,2023,1,14,Saturday,Winter,167,Moderate,86.4,129.2,30.9,12.0,1.98,21.2,Interpolated_from_baseline
2023-01-15,2023,1,15,Sunday,Winter,166,Moderate,85.3,132.9,31.6,12.1,2.15,23.1,Interpolated_from_baseline
2023-01-16,2023,1,16,Monday,Winter,173,Moderate,98.9,146.5,39.3,15.8,2.39,21.7,Interpolated_from_baseline
2023-01-17,2023,1,17,Tuesday,Winter,167,Moderate,85.9,122.2,32.1,15.4,1.94,21.6,Interpolated_from_baseline
2023-01-18,2023,1,18,Wednesday,Winter,165,Moderate,82.0,125.2,28.6,11.5,1.87,20.5,Interpolated_from_baseline
2023-01-19,2023,1,19,Thursday,Winter,171,Moderate,94.4,145.2,32.6,16.9,2.29,23.4,Interpolated_from_baseline
2023-01-20,2023,1,20,Friday,Winter,168,Moderate,88.4,137.9,31.6,12.5,1.98,21.7,Interpolated_from_baseline
2023-01-21,2023,1,21,Saturday,Winter,164,Moderate,80.5,108.8,30.1,12.6,1.8,20.3,Interpolated_from_baseline
2023-01-22,2023,1,22,Sunday,Winter,164,Moderate,80.2,114.6,33.1,12.2,1.93,22.9,Interpolated_from_baseline
2023-01-23,2023,1,23,Monday,Winter,168,Moderate,87.7,138.1,30.8,14.0,2.0,21.1,Interpolated_from_baseline
2023-01-24,2023,1,24,Tuesday,Winter,166,Moderate,84.3,114.5,32.3,13.5,1.81,21.0,Interpolated_from_baseline
2023-01-25,2023,1,25,Wednesday,Winter,165,Moderate,83.1,115.0,30.9,15.2,1.87,22.8,Interpolated_from_baseline
2023-01-26,2023,1,26,Thursday,Winter,168,Moderate,88.1,134.6,30.8,15.1,2.05,22.6,Interpolated_from_baseline
2023-01-27,2023,1,27,Friday,Winter,169,Moderate,91.0,124.7,36.7,13.8,2.02,20.0,Interpolated_from_baseline
2023-01-28,2023,1,28,Saturday,Winter,173,Moderate,98.2,146.1,38.2,13.4,2.36,20.8,Interpolated_from_baseline
2023-01-29,2023,1,29,Sunday,Winter,157,Moderate,67.8,102.5,24.6,12.3,1.49,21.3,Interpolated_from_baseline
2023-01-30,2023,1,30,Monday,Winter,169,Moderate,89.9,123.7,37.0,16.0,2.03,22.7,Interpolated_from_baseline
2023-01-31,2023,1,31,Tuesday,Winter,167,Moderate,87.4,128.8,30.6,12.3,2.3,23.8,Interpolated_from_baseline
2023-02-01,2023,2,1,Wednesday,Winter,166,Moderate,85.3,127.3,31.5,12.5,2.21,27.0,Interpolated_from_baseline
2023-02-02,2023,2,2,Thursday,Winter,162,Moderate,75.9,113.5,26.3,10.5,2.05,25.5,Interpolated_from_baseline
2023-02-03,2023,2,3,Friday,Winter,162,Moderate,76.8,103.4,26.7,12.4,1.67,23.3,Interpolated_from_baseline
2023-02-04,2023,2,4,Saturday,Winter,165,Moderate,82.5,123.5,29.6,13.5,1.9,24.1,Interpolated_from_baseline
2023-02-05,2023,2,5,Sunday,Winter,159,Moderate,71.2,108.2,28.4,12.1,1.82,25.3,Interpolated_from_baseline
2023-02-06,2023,2,6,Monday,Winter,159,Moderate,71.5,100.6,25.8,12.6,1.71,27.0,Interpolated_from_baseline
2023-02-07,2023,2,7,Tuesday,Winter,157,Moderate,67.0,100.0,27.6,10.3,1.68,25.0,Interpolated_from_baseline
2023-02-08,2023,2,8,Wednesday,Winter,163,Moderate,79.2,111.7,27.0,12.7,1.8,27.2,Interpolated_from_baseline
2023-02-09,2023,2,9,Thursday,Winter,156,Moderate,66.1,103.6,28.0,9.8,1.44,27.1,Interpolated_from_baseline
2023-02-10,2023,2,10,Friday,Winter,163,Moderate,77.9,122.3,32.5,11.2,1.86,26.8,Interpolated_from_baseline
2023-02-11,2023,2,11,Saturday,Winter,157,Moderate,66.8,94.8,23.7,10.5,1.82,26.0,Interpolated_from_baseline
2023-02-12,2023,2,12,Sunday,Winter,153,Moderate,60.2,89.6,25.9,8.3,1.49,26.9,Interpolated_from_baseline
2023-02-13,2023,2,13,Monday,Winter,161,Moderate,75.1,114.0,30.3,12.3,1.79,24.0,Interpolated_from_baseline
2023-02-14,2023,2,14,Tuesday,Winter,163,Moderate,78.3,121.2,33.1,12.1,1.93,26.5,Interpolated_from_baseline
2023-02-15,2023,2,15,Wednesday,Winter,163,Moderate,78.3,117.2,31.6,13.1,2.11,24.2,Interpolated_from_baseline
2023-02-16,2023,2,16,Thursday,Winter,157,Moderate,66.9,99.0,22.9,10.2,1.66,23.9,Interpolated_from_baseline
2023-02-17,2023,2,17,Friday,Winter,159,Moderate,71.6,106.2,24.4,9.5,1.9,24.3,Interpolated_from_baseline
2023-02-18,2023,2,18,Saturday,Winter,157,Moderate,67.9,103.5,24.3,10.8,1.51,22.8,Interpolated_from_baseline
2023-02-19,2023,2,19,Sunday,Winter,153,Moderate,58.7,86.2,22.8,9.4,1.52,27.4,Interpolated_from_baseline
2023-02-20,2023,2,20,Monday,Winter,151,Moderate,55.8,85.4,20.3,8.4,1.23,22.6,Interpolated_from_baseline
2023-02-21,2023,2,21,Tuesday,Winter,161,Moderate,75.4,118.4,31.3,12.3,1.82,23.4,Interpolated_from_baseline
2023-02-22,2023,2,22,Wednesday,Winter,158,Moderate,69.5,102.4,28.1,11.2,1.62,27.3,Interpolated_from_baseline
